Position,First,Last,NFL Team,PFL Team,Draft Round,Keeper Eligible,How Many Years
QB,Andy,Dalton,Cincinatti,Jamal,8th,Yes,2
RB,Thomas,Rawls,Seattle,Jamal,Undrafted,Yes,2
WR,Demaryius,Thomas,Denver,Jamal,1st,No,0
WR,A.J.,Green,Cincinatti,Jamal,1st,No,0
WR,Dez,Bryant,Dallas,Jamal,1st,No,0
D/ST,Kansas City,Chiefs,Kansas City,Jamal,10th,Yes,2
RB,Matt,Forte,Chicago,Jamal,2nd,No,0
TE,Rob,Gronkowski,New Enland,Jamal,3rd,No,0
WR,T.Y.,Hilton,Indianapolis,Jamal,8th,Yes,1
RB,DeMarco,Murray,Philadelphia,Jamal,2nd,No,0
QB,Andrew,Luck,Indianapolis,Jamal,8th,No,0
WR,Julian,Edelman,New Enland,Jamal,3rd,No,0
QB,Derek,Carr,Oakland,Jamal,Undrafted,Yes,2
QB,Cam,Newton,Carolina,Marc,7th,Yes,2
RB,Doug,Martin,Tampa Bay,Marc,2nd,Yes,1
WR,Travis,Benjamin,Cleveland,Marc,Undrafted,Yes,2
RB,Latavius,Murray,Oakland,Marc,4th ,Yes,1
WR,Brandon,Marshall,NY Jets,Marc,3rd,Yes,2
TE,Benjamin,Watson,New Orleans,Marc,Undrafted,Yes,2
D/ST,Carolina,Panthers,Carolina,Marc,10th,Yes,2
TE,Jimmy,Graham,Seattle,Marc,2nd,Yes,1
WR,Kevin,Benjamin,Carolina,Marc,Undrafted,Yes,2
WR,James,Jones,Green Bay,Marc,Undrafted,Yes,2
RB,Dion,Lewis,New Enland,Marc,Undrafted,Yes,2
WR,Marvin,Jones,Cincinatti,Marc,7th,Yes,2
WR,Leonard,Hankerson,Atlanta,Marc,Undrafted,Yes,2
QB,Carson,Palmer,Arizona,Mark,12th,Yes,2
RB,Giovani,Bernard,Cincinatti,Mark,2nd,No,0
WR,DeSean,Jackson,Washington,Mark,6th,No,0
RB,LeGarrette ,Blount,New Enland,Mark,8th,Yes,2
WR,Brandon,LaFell,New Enland,Mark,6th,Yes,1
TE,Gary,Barnidge,Cleveland,Mark,Undrafted,Yes,2
D/ST,Philadelphia,Eagles,Philadelphia,Mark,12th,Yes,2
RB,Marshawn,Lynch,Seattle,Mark,2nd,No,0
TE,Delanie,Walker,Tennessee,Mark,9th,Yes,2
WR,Allen,Hurns,Jacksonville,Mark,6th,Yes,2
WR,Rishard,Matthews,Miami,Mark,Undrafted,Yes,2
QB,Eli,Manning,NY Giants,Mark,5th,Yes,2
RB,Arian,Foster,Houston,Mark,3rd,Yes,1
QB,Russell,Wilson,Seattle,Matt,8th,Yes,1
RB,LeSean,McCoy,Buffalo,Matt,2nd,Yes,2
WR,Jeremy,Maclin,Kansas City,Matt,5th,Yes,1
WR,Larry ,Fitzgerald,Arizona,Matt,3rd,Yes,2
WR,Michael,Crabtree,Oakland,Matt,6th,Yes,1
TE,Jason,Witten,Dallas,Matt,4th,Yes,1
D/ST,Buffalo,Bills,Buffalo,Matt,12th,Yes,2
RB,Frank,Gore,Indianapolis,Matt,2nd,Yes,1
RB,Jeremy,Hill,Cincinatti,Matt,2nd,No,0
QB,Philip,Rivers,San Diego,Matt,8th,Yes,2
WR,Jordy,Nelson,Green Bay,Matt,6th,Yes,2
RB,Tevin,Coleman,Atlanta,Matt,Undrafted,Yes,2
RB,Javorius,Allen,Baltimore,Matt,Undrafted,Yes,2
QB,Tom,Brady,New Enland,Josh,6th,Yes,2
RB,Jonathan,Stewart,Carolina,Josh,9th,Yes,2
RB,Adrian,Peterson,Minnesota,Josh,1st,No,0
RB,Danny,Woodhead,San Diego,Josh,10th,Yes,2
WR,DeAndre,Hopkins,Houston,Josh,2nd,No,0
TE,Julius,Thomas,Jacksonville,Josh,8th,Yes,2
D/ST,Arizona,Cardinals,Arizona,Josh,11th,Yes,2
WR,Golden,Tate,Detroit,Josh,7th,Yes,1
RB,Carlos,Hyde,San Francisco,Josh,8th,Yes,1
RB,T.J. ,Yeldon,Jacksonville,Josh,Undrafted,Yes,2
WR,Willie,Snead,New Orleans,Josh,Undrafted,Yes,2
RB,Jeremy,Langford,Chicago,Josh,Undrafted,Yes,2
TE,Richard,Rodgers,Green Bay,Josh,10th,Yes,2
QB,Drew,Brees,New Orleans,Ben,3rd,Yes,2
RB,Lamar,Miller,Miami,Ben,4th,Yes,1
WR,Alshon,Jeffries,Chicago,Ben,3rd,No,0
RB,Mark,Ingram,New Orleans,Ben,7th,No,0
WR,Calvin,Johnson,Detroit,Ben,1st,No,0
TE,Tyler,Eifert,Cincinatti,Ben,8th,Yes,2
D/ST,Denver,Broncos,Denver,Ben,10th,Yes,2
WR,Davante,Adams,Green Bay,Ben,8th,Yes,1
WR,Keenan,Allen,San Diego,Ben,8th,No,0
WR,Stefon,Diggs,Minnesota,Ben,Undrafted,Yes,2
D/ST,Green Bay,Packers,Green Bay,Ben,12th,Yes,2
RB,Jay,Ajayi,Miami,Ben,Undrafted,Yes,2
WR,Vincent,Jackson,Tampa Bay,Ben,6th,Yes,1
QB,Matt,Ryan,Atlanta,Bryan,6th,Yes,2
RB,Todd ,Gurley,St. Louis,Bryan,8th,Yes,1
WR,Mike,Evans,Tampa Bay,Bryan,8th,Yes,1
WR,Jarvis,Landry,Miami,Bryan,4th,Yes,2
WR,Odell,Beckham,NY Giants,Bryan,Undrafted,Yes,2
TE,Travis,Kelce,Kansas City,Bryan,2nd,Yes,2
D/ST,Cincinnati,Bengals,Cincinatti,Bryan,12th,Yes,2
WR,Donte,Moncrief,Indianapolis,Bryan,8th,Yes,1
RB,Charcandrick ,West,Kansas City,Bryan,Undrafted,Yes,2
RB,Chris,Johnson,Arizona,Bryan,Undrafted,Yes,2
RB,Eddie,Lacy,Green Bay,Bryan,3rd,Yes,1
QB,Tony,Romo,Dallas,Bryan,7th,Yes,2
QB,Brian,Hoyer,Houston,Bryan,Undrafted,Yes,2
QB,Aaron,Rodgers,Green Bay,Jamie,2nd,Yes,1
RB,DeAngelo,Williams,Pittsburgh,Jamie,Undrafted,Yes,2
